PlanIndex,RunID,PointName,Split,LogKP,LogKI,ScenarioID,Vin_RMS,Pload_Pre_W,Pload_High_W,BoostInductance_uH,DCBusCapacitance_uF,LineFrequency_Hz,KP,KI,IAMP_MAX_A,SimulationSucceeded,SafetyPassed,Objective,PerformanceObjective,PreLoadMean_V,HighLoadMean_V,PostLoadMean_V,SteadyStateError_V,LoadOnUndershoot_V,LoadOffOvershoot_V,LoadOnSettling_s,LoadOffSettling_s,HighLoadRipple_Vpp,GlobalVoutMinimum_V,GlobalVoutMaximum_V,ILPeak_A,PowerFactor,THD_Percent,InputPower_W,DutyMinimum,DutyMaximum,DutyMeanHigh,DutySaturationFraction,DutyStepRMS,IrefPeak_A,IrefMeanAbsHigh_A,IrefSaturationFraction,IrefStepRMS_A,ElapsedTime_s,BaselineFileUnchanged,ErrorIdentifier,ErrorMessage
21,S7_04_03,STRONG_FIXED,train,-1.89711998488588,2.484906649788,STAGE7_04,190.539372581718,350.290735831961,904.931860451025,356.662296747221,1150.76722251851,50.0329835044347,0.15,12,16,1,1,0.0670816862065478,0.0670816862065478,400.026770587028,400.0155951254,399.694541469104,0.177261376092862,13.0272757836265,13.746862700873,0.04448,0.0469599999999999,7.0860958481411,383.218345214688,415.422745775384,10.1430974228133,0.968972460670764,10.349083966487,916.298700690881,0,0.85,0.755287397434275,0.379936550158625,0.00809954596693988,8.77823919458397,4.7359837836149,0,0.00664497403488774,32.6852533,1,,
22,S7_04_04,DOE_RANDOM_1,train,-3.18310686271231,-0.449932614056866,STAGE7_04,190.539372581718,350.290735831961,904.931860451025,356.662296747221,1150.76722251851,50.0329835044347,0.04145665469698,0.637671120243863,16,1,0,1000000,0.916361186850062,404.873680631006,388.798626489186,378.921467608138,14.0656562735451,40.9082334724426,25.7360398627214,0.3124,0.38,25.9115684331826,355.971206875294,430.01889027806,8.93613607560751,0.971735123845841,9.58783969744964,913.750734236126,0,0.85,0.735552804606076,0.310984222539444,0.00721773722636129,7.57173208363732,4.16219010615474,0,0.00587225436853759,35.6174171,1,,
23,S7_04_05,DOE_RANDOM_2,train,-2.42805043704439,1.95563524713299,STAGE7_04,190.539372581718,350.290735831961,904.931860451025,356.662296747221,1150.76722251851,50.0329835044347,0.0882086333436892,7.06840778359368,16,1,1,0.0858246188658467,0.0858246188658467,400.102082311732,399.869827849118,400.06537400903,0.102695907562643,17.8839645886362,19.3098270129343,0.0646,0.06846,8.26177380438759,378.268359471039,420.79024531067,10.1654927636143,0.969652354871177,10.0040781675062,917.952425799012,0,0.85,0.754466373951569,0.375714060714848,0.00805700083051641,8.81238611987289,4.71481800646749,0,0.00662111920281035,37.4132095,1,,
24,S7_04_06,DOE_RANDOM_3,train,-4.83950536943151,1.10222597082073,STAGE7_04,190.539372581718,350.290735831961,904.931860451025,356.662296747221,1150.76722251851,50.0329835044347,0.00791096608966111,3.01086065812223,16,1,1,0.471732244166019,0.471732244166019,398.95067354371,399.267727227824,397.238952896301,1.75695669967386,30.5318726621173,24.9343569299965,0.21138,0.38,20.6549186237208,366.043156186986,430.010842825071,10.5998800646738,0.967255833537018,9.91522555835663,893.232131662776,0,0.85,0.751358926780108,0.362359094102265,0.00783120025506153,9.22958391560017,4.63489625357942,0,0.00656910174696432,33.4978396,1,,
25,S7_05_01,SAFE_BASELINE,train,-4.60517018598809,-0.22314355131421,STAGE7_05,194.58677783696,413.368061718102,1176.34427641643,346.877024334214,1296.27427943713,49.1168243597213,0.01,0.8,16,1,1,1.07583557184522,1.07583557184522,406.69497033266,396.785296629327,372.262902792158,16.5781332587426,63.2907011269316,26.5853344859818,0.24944,0.38,34.2196981895543,333.176883989103,430.027192424932,11.3734404339096,0.979203172266774,8.32663030778859,1238.0244080894,0,0.85,0.723943055013034,0.306891732770668,0.00710398584231386,10.0042022265554,5.23192503822502,0,0.00738209113637023,32.8421198,1,,
26,S7_05_02,PREVIOUS_BENCHMARK,train,-2.81378324280591,1.60684713308168,STAGE7_05,194.58677783696,413.368061718102,1176.34427641643,346.877024334214,1296.27427943713,49.1168243597213,0.0599776526,4.9870628691,16,1,1,0.146636611352102,0.146636611352102,399.66360986833,399.582141790093,397.849620266384,1.27956982394073,27.6401223603601,26.7187408747886,0.0864200000000001,0.15602,10.2680635667717,368.250106244567,430.016627446298,12.4113123835513,0.976716690239604,8.81238737258373,1173.4193097973,0,0.85,0.748918612616206,0.370789073027317,0.00795329355750876,11.0390939270665,5.84855190765481,0,0.00810629106410222,35.2253879,1,,
27,S7_05_03,STRONG_FIXED,train,-1.89711998488588,2.484906649788,STAGE7_05,194.58677783696,413.368061718102,1176.34427641643,346.877024334214,1296.27427943713,49.1168243597213,0.15,12,16,1,1,0.067191952229645,0.067191952229645,400.05391030897,400.03830763035,399.639930047304,0.211363956869322,16.4205566315081,17.2011187961247,0.05004,0.05284,8.22819312586398,379.047425479109,419.378253091497,12.3989365307491,0.976402765255414,9.29339608684375,1179.85056837152,0,0.85,0.751184113939766,0.378186554533614,0.00800975776500554,11.0316583081557,5.91456368229082,0,0.00817045594373737,34.9104412,1,,
28,S7_05_04,DOE_RANDOM_1,train,-3.67142493639881,2.22225909253037,STAGE7_05,194.58677783696,413.368061718102,1176.34427641643,346.877024334214,1296.27427943713,49.1168243597213,0.0254401934493297,9.22815459077052,16,1,1,0.194069594808083,0.194069594808083,401.025787380833,400.333978327686,398.908389396958,0.88607655476517,26.0357872950846,26.2375415446667,0.12428,0.20204,13.3749179349172,369.015695352952,428.075667180348,13.9701798802324,0.976581817247163,8.84223053940881,1193.58182657199,0,0.85,0.749963578161272,0.373079067302332,0.0080069500705622,12.6084812281086,5.89946432050403,0,0.00821618288824762,43.8555696,1,,
29,S7_05_05,DOE_RANDOM_2,train,-5.06902294115421,-0.6166529920416,STAGE7_05,194.58677783696,413.368061718102,1176.34427641643,346.877024334214,1296.27427943713,49.1168243597213,0.00628856143468688,0.53974795842411,16,1,0,1000000,1.89301859891746,419.113016486985,380.397195196967,363.511677407596,26.3373944610126,73.1352236029977,25.2421084040429,0.33598,0.38,49.0142238980645,323.427253736146,430.035052081761,11.0942550705013,0.979427932296098,8.15387914203414,1188.5805911938,0,0.85,0.707812248388701,0.271836820407949,0.00658810671434675,9.72858380612259,4.71480209233959,0,0.00671589416103852,38.2997238,1,,
30,S7_05_06,DOE_RANDOM_3,train,-1.90036125481201,0.438098119595771,STAGE7_05,194.58677783696,413.368061718102,1176.34427641643,346.877024334214,1296.27427943713,49.1168243597213,0.149514596597769,1.54975696148625,16,1,1,0.352544157919205,0.352544157919205,400.615278257792,395.638028794997,413.100807016601,7.97990193369149,25.9291177548657,27.8500323087313,0.21078,0.20096,14.5110014161222,370.056206355952,429.446356718869,10.8433162378713,0.97699855843334,9.01460867142924,1174.04084111123,0,0.85,0.742897060897058,0.351459121352197,0.00780916989985064,9.47007646919183,5.5898234875073,0,0.00772306005251643,29.4846809,1,,
